temperature,replicate_id,run_id,rg_variance,rg_mean_prod
280K,2,280K_2,1.7880611015383502e-4,2.194405854536366
300K,3,300K_3,3.9832650208141725e-4,2.204591137215696
320K,1,320K_1,2.1101505616003254e-4,2.1673649852536867
